depth_m,serial,time,temp,file_i
-9.5,0431 8200 F135 0A,2024-05-03T16:46:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:46:24Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:46:44Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:47:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:47:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:47:44Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:48:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:48:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:48:44Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:49:04Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:49:24Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:49:44Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:50:04Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:50:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:50:44Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:51:04Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:51:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:51:44Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:52:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:52:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:52:44Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:53:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:53:24Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:53:44Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:54:04Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:54:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:54:44Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:55:04Z,11.1,3
